graph_name,exit_status,cpu_time,wallclock_time,maximum_resident_set_size
random_instance019_graph001,0,2.13,1.87,4809560
random_instance019_graph002,0,2.1399999999999997,1.88,4811284
random_instance019_graph003,0,2.15,1.87,4810980
random_instance019_graph004,0,2.13,1.88,4824860
random_instance019_graph005,0,2.13,1.87,4812224
random_instance020_graph001,0,2.16,1.87,4812804
random_instance020_graph002,0,2.15,1.87,4812576
random_instance020_graph003,0,2.1799999999999997,1.88,4815348
random_instance020_graph004,0,2.15,1.87,4814904
random_instance020_graph005,0,2.16,1.88,4814024
random_instance021_graph001,0,2.17,1.88,4814368
random_instance021_graph002,0,2.17,1.88,4815296
random_instance021_graph003,0,2.17,1.88,4815060
random_instance021_graph004,0,2.1799999999999997,1.89,4812808
random_instance021_graph005,0,2.15,1.87,4830472
random_instance022_graph001,0,2.19,1.9,4814468
random_instance022_graph002,0,2.2199999999999998,1.9,4819632
random_instance022_graph003,0,2.2,1.88,4820212
random_instance022_graph004,0,2.16,1.87,4813716
random_instance022_graph005,0,2.21,1.88,4820452
random_instance023_graph001,0,2.2199999999999998,1.89,4825660
random_instance023_graph002,0,2.19,1.87,4819076
random_instance023_graph003,0,2.1799999999999997,1.88,4814604
random_instance023_graph004,0,2.21,1.88,4824816
random_instance023_graph005,0,2.21,1.88,4819980
random_instance024_graph001,0,2.23,1.88,4820908
random_instance024_graph002,0,2.24,1.88,4822312
random_instance024_graph003,0,2.23,1.89,4823268
random_instance024_graph004,0,2.2199999999999998,1.88,4823016
random_instance024_graph005,0,2.24,1.9,4822932
random_instance025_graph001,0,2.23,1.9,4824172
random_instance025_graph002,0,2.24,1.9,4823068
random_instance025_graph003,0,2.28,1.9,4826120
random_instance025_graph004,0,2.24,1.88,4826740
random_instance025_graph005,0,2.25,1.91,4825000
random_instance026_graph001,0,2.24,1.89,4826984
random_instance026_graph002,0,2.24,1.9,4828844
random_instance026_graph003,0,2.2399999999999998,1.89,4825256
random_instance026_graph004,0,2.2399999999999998,1.89,4824920
random_instance026_graph005,0,2.24,1.89,4823064
random_instance027_graph001,0,2.23,1.88,4827084
random_instance027_graph002,0,2.28,1.91,4832680
random_instance027_graph003,0,2.25,1.89,4828844
random_instance027_graph004,0,2.23,1.89,4824256
random_instance027_graph005,0,2.24,1.89,4827772
random_instance028_graph001,0,2.25,1.9,4827380
random_instance028_graph002,0,2.28,1.9,4828588
random_instance028_graph003,0,2.26,1.9,4828048
random_instance028_graph004,0,2.24,1.89,4829076
random_instance028_graph005,0,2.26,1.9,4827556
random_instance029_graph001,0,2.26,1.9,4827756
random_instance029_graph002,0,2.25,1.89,4829608
random_instance029_graph003,0,2.25,1.89,4830260
random_instance029_graph004,0,2.27,1.91,4826196
random_instance029_graph005,0,2.24,1.88,4830004
random_instance030_graph001,0,2.27,1.9,4830272
random_instance030_graph002,0,2.25,1.9,4838368
random_instance030_graph003,0,2.25,1.89,4854764
random_instance030_graph004,0,2.26,1.9,4835516
random_instance030_graph005,0,2.2800000000000002,1.92,4835756
random_instance031_graph001,0,2.28,1.9,4835232
random_instance031_graph002,0,2.29,1.92,4839400
random_instance031_graph003,0,2.25,1.91,4832388
random_instance031_graph004,0,2.29,1.92,4835100
random_instance031_graph005,0,2.25,1.9,4837816
random_instance032_graph001,0,2.29,1.92,4835460
random_instance032_graph002,0,2.25,1.9,4834344
random_instance032_graph003,0,2.27,1.91,4836396
random_instance032_graph004,0,2.28,1.91,4837280
random_instance032_graph005,0,2.2800000000000002,1.93,4835168
random_instance033_graph001,0,2.27,1.91,4840508
random_instance033_graph002,0,2.27,1.9,4840664
random_instance033_graph003,0,2.29,1.92,4843672
random_instance033_graph004,0,2.27,1.91,4853492
random_instance033_graph005,0,2.29,1.94,4836208
random_instance034_graph001,0,2.29,1.92,4838388
random_instance034_graph002,0,2.29,1.93,4836936
random_instance034_graph003,0,2.3,1.92,4837276
random_instance034_graph004,0,2.29,1.92,4842372
random_instance034_graph005,0,2.29,1.93,4837144
random_instance035_graph001,0,2.27,1.91,4842016
random_instance035_graph002,0,2.28,1.92,4839368
random_instance035_graph003,0,2.32,1.94,4844284
random_instance035_graph004,0,2.31,1.95,4841000
random_instance035_graph005,0,2.31,1.94,4843700
random_instance036_graph001,0,2.29,1.94,4847416
random_instance036_graph002,0,2.28,1.93,4841524
random_instance036_graph003,0,2.28,1.93,4844140
random_instance036_graph004,0,2.31,1.95,4846840
random_instance036_graph005,0,2.29,1.93,4858716
random_instance037_graph001,0,2.32,1.96,4849828
random_instance037_graph002,0,2.29,1.93,4847788
random_instance037_graph003,0,2.3,1.94,4849656
random_instance037_graph004,0,2.29,1.93,4844764
random_instance037_graph005,0,2.31,1.94,4860912
random_instance038_graph001,0,2.29,1.93,4852708
random_instance038_graph002,0,2.29,1.93,4849776
random_instance038_graph003,0,2.31,1.95,4851924
random_instance038_graph004,0,2.29,1.93,4851596
random_instance038_graph005,0,2.32,1.95,4850908
random_instance039_graph001,0,2.29,1.93,4854048
random_instance039_graph002,0,2.31,1.95,4856796
random_instance039_graph003,0,2.3,1.93,4857148
random_instance039_graph004,0,2.29,1.93,4851548
random_instance039_graph005,0,2.3,1.94,4851764
random_instance040_graph001,0,2.29,1.93,4855936
random_instance040_graph002,0,2.29,1.94,4853756
random_instance040_graph003,0,2.31,1.95,4856816
random_instance040_graph004,0,2.32,1.96,4855584
random_instance040_graph005,0,2.3,1.95,4856216
school1,0,2.95,2.02,4894860
school1_nsh,0,2.8899999999999997,1.98,4878728
sp001,0,1.93,1.83,4794252
sp002,0,1.94,1.83,4794320
sp003,0,1.97,1.84,4811268
sp004,0,1.97,1.84,4796376
sp005,0,2.01,1.84,4798948
sp006,0,2.04,1.86,4800780
sp007,0,2.02,1.85,4800484
sp008,0,2.03,1.85,4800696
sp009,0,2.06,1.86,4802852
sp010,0,2.09,1.86,4804000
sp011,0,2.12,1.88,4802616
sp012,0,2.12,1.87,4804568
sp013,0,2.13,1.89,4804240
sp014,0,2.1399999999999997,1.89,4820396
sp015,0,2.15,1.89,4806932
sp016,0,2.19,1.88,4807712
sp017,0,2.1799999999999997,1.88,4810244
sp018,0,2.1799999999999997,1.87,4809824
sp019,0,2.2,1.87,4820184
sp020,0,2.21,1.87,4815440
