graph_name,vertices,edges,dat_file,tokens,independent_sets,reconfiguration_sequence_length,pw_opt,pw_heur,pw_orig,cpu_time_opt,cpu_time_heur,cpu_time_orig,wallclock_time_opt,wallclock_time_heur,wallclock_time_orig,max_memory_opt,max_memory_heur,max_memory_orig,zdd_time_opt,zdd_time_heur,zdd_time_orig,zdd_size_opt,zdd_size_heur,zdd_size_orig,solved?_opt,solved?_heur,solved?_orig,error_opt,error_heur,error_orig,cpu_time_opt_preprocess,cpu_time_heur_preprocess,wallclock_time_opt_preprocess,wallclock_time_heur_preprocess,max_memory_opt_preprocess,max_memory_heur_preprocess,solved?_opt_preprocess,solved?_heur_preprocess
4-FullIns_3,114,541,4-FullIns_3_02,54,767186184427266378,1,24,43,29,2.9,7180.58,3.72,2.91,7205.0,3.74,282084,280617252,284992,2.836348,,3.607064,255177,,491999,1,0,1,,,,187.92,2.07,167.86,1.86,59174828,4803572,1,1
4-FullIns_4,690,6650,4-FullIns_4_01,343,,,,148,147,,7180.47,7196.26,,7206.0,7221.0,,299322176,529837992,,,,,,,0,0,0,,,,,2.65,,2.04,,4917388,0,1
4-FullIns_4,690,6650,4-FullIns_4_02,342,,,,148,147,,7179.0503,7192.37,,7205.0,7217.0,,295275052,529801528,,,,,,,0,0,0,,,,,2.65,,2.04,,4917388,0,1
4-FullIns_5,4146,77305,4-FullIns_5_01,2070,,,,728,841,,1795.7899,1796.41,,1800.44,1800.65,,77782680,157890724,,,,,,,0,0,0,,,,,10.739999999999998,,9.51,,18329352,0,1
4-FullIns_5,4146,77305,4-FullIns_5_02,2070,,,,728,841,,1795.9199,1796.35,,1800.44,1800.64,,77784356,170201252,,,,,,,0,0,0,,,,,10.739999999999998,,9.51,,18329352,0,1
4-Insertions_3,79,156,4-Insertions_3_01,38,245227225296269,1,13,14,15,0.07,0.04,0.08,0.07,0.05,0.08,35060,34036,35060,0.052218,0.032468,0.05733,27622,19853,61780,1,1,1,,,,17.06,1.95,15.59,1.83,23683116,4796232,1,1
4-Insertions_3,79,156,4-Insertions_3_02,38,245227225296269,3,13,14,15,0.07,0.04,0.08,0.07,0.05,0.08,34040,34032,35060,0.053034,0.032455,0.060377,27622,19853,61780,1,1,1,,,,17.06,1.95,15.59,1.83,23683116,4796232,1,1
4-Insertions_4,475,1795,4-Insertions_4_01,236,,,,81,94,,7180.04,7180.4297,,7206.0,7206.0,,282691632,297333096,,,,,,,0,0,0,,,,,2.32,,1.93,,4848660,0,1
4-Insertions_4,475,1795,4-Insertions_4_02,236,,,,81,94,,7179.53,7177.1,,7205.0,7203.0,,282694008,542239556,,,,,,,0,0,0,,,,,2.32,,1.93,,4848660,0,1
5-FullIns_3,154,792,5-FullIns_3_01,72,958445790577822897653308,1,,57,34,,1796.72,65.840004,,1800.22,65.98,,73941972,2404788,,,65.046661,,,3508485,0,0,1,,,,,2.08,,1.85,,4803792,0,1
5-FullIns_3,154,792,5-FullIns_3_02,71,958445790577822897653308,5,,57,34,,1796.6599,65.66,,1800.22,65.8,,73940360,2404020,,,64.856302,,,3508485,0,0,1,,,,,2.08,,1.85,,4803792,0,1
5-FullIns_4,1085,11395,5-FullIns_4_01,535,,,,200,193,,1796.45,1796.59,,1800.42,1800.43,,137742124,142007824,,,,,,,0,0,0,,,,,3.3600000000000003,,2.25,,5171812,0,1
5-FullIns_4,1085,11395,5-FullIns_4_02,534,,,,200,193,,1796.4199,1796.4401,,1800.42,1800.44,,136546676,142007664,,,,,,,0,0,0,,,,,3.3600000000000003,,2.25,,5171812,0,1
DSJC1000.1,1000,49629,DSJC1000.1_01,66,,,,883,947,,1796.75,1796.9299,,1800.51,1800.63,,134955308,147972764,,,,,,,0,0,0,,,,,3.58,,2.52,,5120440,0,1
DSJC1000.1,1000,49629,DSJC1000.1_02,66,,,,883,947,,1796.75,1796.84,,1800.51,1800.6,,135020864,147972756,,,,,,,0,0,0,,,,,3.58,,2.52,,5120440,0,1
DSJC1000.5,1000,249826,DSJC1000.5_01,14,,,,975,989,,1796.32,1796.26,,1800.52,1800.6,,134766604,147752376,,,,,,,0,0,0,,,,,7.689999999999999,,6.48,,5504608,0,1
DSJC1000.5,1000,249826,DSJC1000.5_02,13,,,,975,989,,1796.3,1796.34,,1800.54,1800.59,,134588440,147728636,,,,,,,0,0,0,,,,,7.689999999999999,,6.48,,5504608,0,1
DSJC1000.9,1000,449449,DSJC1000.9_01,5,,,990,992,997,7179.89,7179.35,7190.0703,7206.0,7205.0,7216.0,294792772,296109796,532097544,,,,,,,0,0,0,,,,99.16,13.74,83.88,12.67,58598376,5891132,1,1
DSJC1000.9,1000,449449,DSJC1000.9_02,5,,,990,992,997,7179.78,7179.0,7190.01,7205.0,7205.0,7216.0,295482012,295978016,531921100,,,,,,,0,0,0,,,,99.16,13.74,83.88,12.67,58598376,5891132,1,1
DSJC125.1,125,736,DSJC125.1_01,34,,,,66,91,,1796.62,1796.75,,1800.22,1800.4,,73052584,135250460,,,,,,,0,0,0,,,,,2.08,,1.85,,4803608,0,1
DSJC125.1,125,736,DSJC125.1_02,33,,,,66,91,,1796.65,1796.76,,1800.22,1800.4,,73052584,135315420,,,,,,,0,0,0,,,,,2.08,,1.85,,4803608,0,1
DSJC125.5,125,3891,DSJC125.5_01,9,537509,4,108,110,119,1024.22,982.67004,897.3,1028.3,986.57,900.71,70349028,70206848,72016876,1027.897563,986.174384,900.365263,97315,94405,115590,1,1,1,,,,12.04,2.18,10.16,1.87,14276840,4825124,1,1
DSJC125.5,125,3891,DSJC125.5_02,9,537509,2,108,110,119,1029.04,966.93,898.98,1033.09,970.64,902.38,70349184,70208484,72016876,1032.680851,970.305456,902.037443,97315,94405,115590,1,1,1,,,,12.04,2.18,10.16,1.87,14276840,4825124,1,1
DSJC125.9,125,6961,DSJC125.9_01,4,1250,1,119,119,123,6.6,6.6000004,10.059999,6.63,6.63,10.1,596924,596424,594248,6.577249,6.577689,10.007821,888,888,912,1,1,1,,,,2.27,2.41,1.89,1.9,4827688,4832592,1,1
DSJC125.9,125,6961,DSJC125.9_02,3,1250,8,119,119,123,6.67,6.6000004,6.69,6.7,6.63,6.71,599992,596920,594256,6.635737,6.569788,6.62643,888,888,912,1,1,1,,,,2.27,2.41,1.89,1.9,4827688,4832592,1,1
DSJC250.1,250,3218,DSJC250.1_01,44,,,,174,212,,1796.61,1796.63,,1800.41,1800.45,,134603184,143138584,,,,,,,0,0,0,,,,,2.27,,1.91,,4815988,0,1
DSJC250.1,250,3218,DSJC250.1_02,43,,,,174,212,,1796.66,1796.5901,,1800.41,1800.45,,134603184,143138584,,,,,,,0,0,0,,,,,2.27,,1.91,,4815988,0,1
DSJC250.5,250,15668,DSJC250.5_01,11,,,,232,242,,1796.1901,1796.36,,1800.41,1800.44,,134265792,143774020,,,,,,,0,0,0,,,,,2.77,,1.96,,4864228,0,1
DSJC250.5,250,15668,DSJC250.5_02,11,,,,232,242,,1796.35,1796.25,,1800.41,1800.45,,134487652,143683204,,,,,,,0,0,0,,,,,2.77,,1.96,,4864228,0,1
DSJC250.9,250,27897,DSJC250.9_01,4,6556,5,243,243,246,326.80002,331.81,330.65002,328.06,333.07,331.88,34930412,34930404,34971388,327.722348,332.731113,331.552897,4295,4295,4319,1,1,1,,,,3.13,2.85,2.12,2.0,5004716,4891920,1,1
DSJC250.9,250,27897,DSJC250.9_02,4,6556,5,243,243,246,329.39,331.88998,324.42,330.63,333.16,325.7,35018580,35018584,35050204,330.295869,332.820572,325.364223,4295,4295,4319,1,1,1,,,,3.13,2.85,2.12,2.0,5004716,4891920,1,1
DSJC500.1,500,12458,DSJC500.1_01,57,,,,405,457,,7179.23,7190.7695,,7205.0,7215.0,,282312512,528334932,,,,,,,0,0,0,,,,,2.95,,2.03,,4894524,0,1
DSJC500.1,500,12458,DSJC500.1_02,56,,,,405,457,,7179.23,7186.67,,7205.0,7211.0,,282572964,460422744,,,,,,,0,0,0,,,,,2.95,,2.03,,4894524,0,1
DSJC500.5,500,62624,DSJC500.5_01,12,,,,479,491,,1796.2899,1796.3,,1800.45,1800.51,,133803552,146150720,,,,,,,0,0,0,,,,,3.4000000000000004,,2.44,,4982656,0,1
DSJC500.5,500,62624,DSJC500.5_02,12,,,,479,491,,1796.3201,1796.19,,1800.44,1800.51,,134032960,146151096,,,,,,,0,0,0,,,,,3.4000000000000004,,2.44,,4982656,0,1
DSJC500.9,500,112437,DSJC500.9_01,4,,,492,492,496,7190.54,7190.3403,7191.71,7216.0,7216.0,7216.0,530383760,531299652,532966124,,,,,,,0,0,0,,,,7.390000000000001,3.68,5.37,2.56,10086224,5093892,1,1
DSJC500.9,500,112437,DSJC500.9_02,4,,,492,492,496,7198.98,7190.2803,7196.57,7224.0,7216.0,7221.0,531728236,495338496,525701236,,,,,,,0,0,0,,,,7.390000000000001,3.68,5.37,2.56,10086224,5093892,1,1
DSJR500.1,500,3555,DSJR500.1_01,82,,,,57,395,,1796.4199,1796.8099,,1800.41,1800.49,,138117672,144191040,,,,,,,0,0,0,,,,,2.37,,1.95,,4849796,0,1
DSJR500.1,500,3555,DSJR500.1_02,81,,,,57,395,,1796.45,1796.7899,,1800.41,1800.49,,137998844,144223812,,,,,,,0,0,0,,,,,2.37,,1.95,,4849796,0,1
DSJR500.1c,500,121275,DSJR500.1c_01,13,94552,1,485,485,496,1449.23,1442.58,1492.9299,1454.79,1448.11,1498.5,137668800,137669512,140541956,1450.52128,1443.630645,1497.24437,4653,4653,4948,1,1,1,,,,3.93,3.810000000000001,2.72,2.68,5235400,5115668,1,1
DSJR500.1c,500,121275,DSJR500.1c_02,12,94552,4,485,485,496,1458.91,1481.54,1482.39,1464.54,1487.41,1488.03,137894468,137896572,140427412,1459.246537,1482.446473,1486.80287,4653,4653,4948,1,1,1,,,,3.93,3.810000000000001,2.72,2.68,5235400,5115668,1,1
DSJR500.5,500,58862,DSJR500.5_01,7,,,246,252,493,7179.92,7181.42,7176.9,7207.0,7208.0,7204.0,276224352,276682308,529696116,,,,,,,0,0,0,,,,70.3,3.38,65.81,2.28,58505384,4993328,1,1
DSJR500.5,500,58862,DSJR500.5_02,6,,,246,252,493,7180.3696,7178.5903,7189.22,7207.0,7205.0,7216.0,276224864,278684696,459390020,,,,,,,0,0,0,,,,70.3,3.38,65.81,2.28,58505384,4993328,1,1
anna,138,493,anna_01,80,246319342336314321386707353600,5,,21,61,,2.4699998,2928.69,,2.49,2936.6,,275776,151400048,,2.405407,2854.932468,,11785,240778360,0,1,1,,,,,2.07,,1.86,,4803508,0,1
anna,138,493,anna_02,79,246319342336314321386707353600,13,,21,61,,2.6299999,3110.9302,,2.64,3119.66,,275752,151402700,,2.398439,2839.226206,,11785,240778360,0,1,1,,,,,2.07,,1.86,,4803508,0,1
ash331GPIA,662,4181,ash331GPIA_01,228,,,,115,102,,1796.8899,1796.4,,1800.39,1800.41,,132424668,139254264,,,,,,,0,0,0,,,,,2.45,,2.0,,4907084,0,1
ash331GPIA,662,4181,ash331GPIA_02,228,,,,115,102,,1796.89,1796.4099,,1800.39,1800.41,,132424672,139254692,,,,,,,0,0,0,,,,,2.45,,2.0,,4907084,0,1
ash608GPIA,1216,7844,ash608GPIA_01,423,,,,109,170,,1796.82,1796.05,,1800.39,1800.4,,134149000,137975744,,,,,,,0,0,0,,,,,3.35,,2.32,,5361052,0,1
ash608GPIA,1216,7844,ash608GPIA_02,422,,,,109,170,,1796.78,1796.08,,1800.39,1800.4,,134107892,137603464,,,,,,,0,0,0,,,,,3.35,,2.32,,5361052,0,1
ash958GPIA,1916,12506,ash958GPIA_01,662,,,,137,172,,1796.79,1795.9199,,1800.41,1800.41,,137436908,141238800,,,,,,,0,0,0,,,,,4.0,,2.91,,6482308,0,1
ash958GPIA,1916,12506,ash958GPIA_02,661,,,,137,172,,1796.82,1795.97,,1800.41,1800.41,,137472984,141199888,,,,,,,0,0,0,,,,,4.0,,2.91,,6482308,0,1
david,87,406,david_01,36,1233653689761797,6,13,18,53,0.08,0.12,61.47,0.09,0.12,61.68,35060,36084,4356392,0.067941,0.096375,59.336223,857,1476,5193482,1,1,1,,,,4.35,2.0,3.44,1.82,6702324,4800632,1,1
david,87,406,david_02,35,1233653689761797,9,13,18,53,0.1,0.13,77.55,0.11,0.14,77.74,35060,36084,4508292,0.067946,0.09448,55.527424,857,1476,5193482,1,1,1,,,,4.35,2.0,3.44,1.82,6702324,4800632,1,1
games120,120,638,games120_01,22,30467298966717,7,32,46,91,635.38,7179.29,7179.78,637.83,7205.0,7205.0,34584780,283598876,276371108,637.37377,,,804613,,,1,0,0,,,,116.73,2.08,102.32,1.86,58817300,4803568,1,1
